timestamp_utc,pid,cpu_interval_pct,rss_kib,rss_mib
2026-09-03T09:11:03.985073+00:00,268456,13.291,112840,110.195
2026-09-03T09:11:08.986431+00:00,268456,15.317,112612,109.973
2026-09-03T09:11:13.987966+00:00,268456,13.317,112612,109.973
2026-09-03T09:11:18.989185+00:00,268456,13.703,112616,109.977
2026-09-03T09:11:23.990659+00:00,268456,13.72,112620,109.98
2026-09-03T09:11:28.992008+00:00,268456,12.71,112620,109.98
2026-09-03T09:11:33.993200+00:00,268456,13.093,112848,110.203
2026-09-03T09:11:38.994533+00:00,268456,14.108,112988,110.34
2026-09-03T09:11:43.995719+00:00,268456,15.334,113172,110.52
2026-09-03T09:11:48.997062+00:00,268456,17.733,112660,110.02
2026-09-03T09:11:53.998306+00:00,268456,13.505,112924,110.277
2026-09-03T09:11:58.999545+00:00,268456,13.722,113056,110.406
2026-09-03T09:12:04.000746+00:00,268456,13.298,113068,110.418
2026-09-03T09:12:09.002127+00:00,268456,13.102,113068,110.418
2026-09-03T09:12:14.003498+00:00,268456,13.924,113012,110.363
2026-09-03T09:12:19.005385+00:00,268456,13.71,113008,110.359
2026-09-03T09:12:24.007015+00:00,268456,11.88,113024,110.375
2026-09-03T09:12:29.007947+00:00,268456,13.083,113024,110.375
2026-09-03T09:12:34.008737+00:00,268456,12.478,113024,110.375
2026-09-03T09:12:39.009498+00:00,268456,13.09,113288,110.633
2026-09-03T09:12:44.010279+00:00,268456,14.912,113288,110.633
2026-09-03T09:12:49.011146+00:00,268456,13.315,113288,110.633
2026-09-03T09:12:54.011967+00:00,268456,12.489,113292,110.637
2026-09-03T09:12:59.012752+00:00,268456,12.7,113292,110.637
2026-09-03T09:13:04.013584+00:00,268456,13.493,113056,110.406
2026-09-03T09:13:09.014506+00:00,268456,12.705,113056,110.406
2026-09-03T09:13:14.015439+00:00,268456,15.115,113228,110.574
2026-09-03T09:13:19.016193+00:00,268456,13.72,112844,110.199
2026-09-03T09:13:24.017002+00:00,268456,12.513,112844,110.199
2026-09-03T09:13:29.017856+00:00,268456,13.108,112816,110.172
2026-09-03T09:13:34.018877+00:00,268456,12.3,112860,110.215
2026-09-03T09:13:39.019733+00:00,268456,11.691,112856,110.211
2026-09-03T09:13:44.020661+00:00,268456,13.305,113132,110.48
2026-09-03T09:13:49.021510+00:00,268456,14.509,113132,110.48
2026-09-03T09:13:54.022207+00:00,268456,13.082,113132,110.48
2026-09-03T09:13:59.023046+00:00,268456,13.103,113132,110.48
2026-09-03T09:14:04.024330+00:00,268456,13.103,113132,110.48
2026-09-03T09:14:09.025537+00:00,268456,14.122,112920,110.273
2026-09-03T09:14:14.026907+00:00,268456,12.706,112920,110.273
